Index,Frequency,Magnitude,Phase,Real,Imaginary
4988,29226.6,0.0628483,-2.83758,-0.0599663,-0.0188137
4989,29232.4,0.0659432,-2.91538,-0.0642631,-0.0147904
4990,29238.3,0.062612,-2.8814,-0.0605045,-0.016108
4991,29244.1,0.0628006,-2.84838,-0.0601204,-0.0181511
4992,29250,0.0665391,-2.91957,-0.0649059,-0.0146518
4993,29255.9,0.0619603,-2.87229,-0.0597271,-0.0164848
4994,29261.7,0.0636373,-2.86889,-0.0612856,-0.0171399
4995,29267.6,0.0662182,-2.89404,-0.0641996,-0.0162256
4996,29273.4,0.0604831,-2.88685,-0.0585312,-0.0152415
4997,29279.3,0.0642293,-2.89349,-0.0622626,-0.0157724
4998,29285.2,0.0662326,-2.89171,-0.0641755,-0.0163787
4999,29291,0.0623598,-2.92936,-0.0609607,-0.0131357
5000,29296.9,0.0660635,-2.83371,-0.0629571,-0.0200197
5001,29302.7,0.06514,-2.91117,-0.0634183,-0.0148773
5002,29308.6,0.0616709,-2.89311,-0.0597769,-0.0151668
5003,29314.5,0.0650165,-2.88131,-0.0628266,-0.0167322
5004,29320.3,0.0669255,-2.91429,-0.065204,-0.0150819
5005,29326.2,0.0650817,-2.91189,-0.0633723,-0.0148181
5006,29332,0.0669893,-2.78714,-0.0628251,-0.0232502
5007,29337.9,0.0638248,-2.90275,-0.0620129,-0.0150998
5008,29343.8,0.0620913,-2.87424,-0.0598854,-0.0164034
5009,29349.6,0.0640258,-2.85974,-0.0614994,-0.0178079
5010,29355.5,0.065427,-2.90409,-0.0635904,-0.0153935
5011,29361.3,0.0620988,-2.9119,-0.060468,-0.0141383
5012,29367.2,0.0662455,-2.85041,-0.063457,-0.0190178
5013,29373,0.0662041,-2.92582,-0.0646689,-0.0141742
5014,29378.9,0.0635877,-2.85392,-0.0609747,-0.0180412
5015,29384.8,0.0649806,-2.87574,-0.0626978,-0.0170725
5016,29390.6,0.0676086,-2.9084,-0.0657786,-0.0156236
5017,29396.5,0.0640888,-2.83685,-0.0611359,-0.0192296
5018,29402.3,0.064476,-2.85459,-0.0618388,-0.0182516
5019,29408.2,0.0662056,-2.88432,-0.0640265,-0.0168457
5020,29414.1,0.061348,-2.86899,-0.0590826,-0.0165173
5021,29419.9,0.0666763,-2.86471,-0.0641368,-0.0182265
5022,29425.8,0.0644535,-2.88799,-0.062392,-0.0161707
5023,29431.6,0.063834,-2.88829,-0.0617971,-0.0159967
5024,29437.5,0.0666247,-2.83962,-0.06361,-0.0198146
5025,29443.4,0.064618,-2.89727,-0.0626989,-0.0156312
5026,29449.2,0.0648136,-2.86958,-0.0624305,-0.0174136
5027,29455.1,0.0658775,-2.82782,-0.0626612,-0.0203328
5028,29460.9,0.064981,-2.87907,-0.0627546,-0.016864
5029,29466.8,0.0614615,-2.8559,-0.0589702,-0.0173213
5030,29472.7,0.0653596,-2.8725,-0.0630075,-0.017376
5031,29478.5,0.0654112,-2.89736,-0.06347,-0.0158173
5032,29484.4,0.0641452,-2.87258,-0.0618382,-0.0170484
5033,29490.2,0.0657512,-2.84879,-0.0629528,-0.0189782
5034,29496.1,0.0661656,-2.88001,-0.0639147,-0.0171112
5035,29502,0.0632464,-2.87016,-0.0609307,-0.0169574
5036,29507.8,0.0649809,-2.84032,-0.0620542,-0.019282
5037,29513.7,0.067082,-2.89794,-0.0651006,-0.0161837
5038,29519.5,0.0626937,-2.87187,-0.060427,-0.0167056
5039,29525.4,0.0676876,-2.83682,-0.0645682,-0.0203114
5040,29531.2,0.0675152,-2.86926,-0.0650271,-0.0181601
5041,29537.1,0.0604024,-2.84157,-0.0577042,-0.0178514
5042,29543,0.0675104,-2.82408,-0.0641359,-0.0210768
5043,29548.8,0.0645452,-2.92145,-0.0629875,-0.0140947
5044,29554.7,0.062716,-2.82556,-0.05961,-0.0194921
5045,29560.5,0.067959,-2.84795,-0.0650501,-0.0196698
5046,29566.4,0.0642454,-2.89595,-0.0623168,-0.015623
5047,29572.3,0.0629791,-2.82322,-0.0598141,-0.0197141
5048,29578.1,0.0664921,-2.86948,-0.0640456,-0.0178706
5049,29584,0.0667803,-2.89386,-0.0647416,-0.0163747
